10:49:58.288 ERROR vert.x-eventloop-thread-0 ConnectionBase       : java.io.IOException: Se ha forzado la interrupción de una conexión existente por el host remoto
10:50:04.801 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6335ms
10:50:04.802 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.851 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6385ms
10:50:04.852 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:04.853 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6387ms
10:50:04.854 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:05.027 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6561ms
10:50:05.028 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:05.067 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6600ms
10:50:05.068 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:05.083 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6616ms
10:50:05.083 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:05.192 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6725ms
10:50:05.192 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:05.194 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6727ms
10:50:05.194 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:05.337 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6869ms
10:50:05.337 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:05.341 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|6873ms
10:50:05.341 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:05.869 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|7402ms
10:50:05.869 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:05.869 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|7401ms
10:50:05.871 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:05.875 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|7407ms
10:50:05.876 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:05.877 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|7409ms
10:50:05.878 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:05.879 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|7410ms
10:50:05.880 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:06.131 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|7662ms
10:50:06.132 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:06.134 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|7665ms
10:50:06.134 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:06.191 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|7722ms
10:50:06.192 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:06.327 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|7858ms
10:50:06.330 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:06.482 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|8012ms
10:50:06.483 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:06.527 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|8057ms
10:50:06.527 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
